sector,source,destination,rate_pct
Auto,CHN,GBR,4.518032
Auto,CHN,ROW,7.752812
Auto,EU27,ZAF,8.308625
Auto,EU27,USA,2.018833
Auto,EU27,SACUSADC,7.162344
Auto,EU27,CHN,19.404709
Auto,EU27,ROW,5.250895
Auto,GBR,ZAF,9.504843
Auto,GBR,USA,1.940262
Auto,GBR,SACUSADC,7.777667
Auto,GBR,CHN,24.396849
Auto,GBR,ROW,7.013500
Auto,ROW,ZAF,18.796968
Auto,ROW,USA,0.798142
Auto,ROW,SACUSADC,15.431833
Auto,ROW,CHN,15.714169
Auto,ROW,EU27,2.930331
Auto,ROW,GBR,3.648961
Auto,ROW,ROW,7.889485
MachEquip,ZAF,USA,0.000012
MachEquip,ZAF,CHN,8.291637
MachEquip,ZAF,ROW,3.886795
MachEquip,USA,ZAF,1.901174
MachEquip,USA,SACUSADC,3.470528
MachEquip,USA,CHN,3.842044
MachEquip,USA,EU27,1.003015
MachEquip,USA,GBR,1.263058
MachEquip,USA,ROW,1.244795
MachEquip,SACUSADC,USA,0.000525
MachEquip,SACUSADC,SACUSADC,0.251293
MachEquip,SACUSADC,CHN,3.176832
MachEquip,SACUSADC,ROW,5.245376
MachEquip,CHN,ZAF,3.696942
MachEquip,CHN,USA,0.838745
MachEquip,CHN,SACUSADC,7.113385
MachEquip,CHN,EU27,1.514542
MachEquip,CHN,GBR,1.456451
MachEquip,CHN,ROW,2.503669
MachEquip,EU27,ZAF,0.139976
MachEquip,EU27,USA,0.724792
MachEquip,EU27,SACUSADC,1.029599
MachEquip,EU27,CHN,5.249536
MachEquip,EU27,ROW,2.305031
MachEquip,GBR,ZAF,0.225770
MachEquip,GBR,USA,0.548565
MachEquip,GBR,SACUSADC,0.629163
MachEquip,GBR,CHN,4.055512
MachEquip,GBR,ROW,2.466869
MachEquip,ROW,ZAF,2.065742
MachEquip,ROW,USA,0.278437
MachEquip,ROW,SACUSADC,4.407310
MachEquip,ROW,CHN,2.219760
MachEquip,ROW,EU27,0.621784
MachEquip,ROW,GBR,0.748038
MachEquip,ROW,ROW,1.766276
ChemPlast,ZAF,USA,0.152850
ChemPlast,ZAF,CHN,6.404901
ChemPlast,ZAF,EU27,0.000179
ChemPlast,ZAF,ROW,3.733921
ChemPlast,USA,ZAF,4.005158
ChemPlast,USA,SACUSADC,3.868663
ChemPlast,USA,CHN,6.710339
ChemPlast,USA,EU27,2.375507
ChemPlast,USA,GBR,2.250075
ChemPlast,USA,ROW,1.601887
ChemPlast,SACUSADC,USA,0.036144
ChemPlast,SACUSADC,CHN,5.487847
ChemPlast,SACUSADC,ROW,2.531707
ChemPlast,CHN,ZAF,6.652641
ChemPlast,CHN,USA,3.361416
ChemPlast,CHN,SACUSADC,8.664787
ChemPlast,CHN,EU27,4.666555
ChemPlast,CHN,GBR,4.703963
ChemPlast,CHN,ROW,3.833747
ChemPlast,EU27,ZAF,0.619555
ChemPlast,EU27,USA,1.601028
ChemPlast,EU27,SACUSADC,1.012814
ChemPlast,EU27,CHN,5.955267
ChemPlast,EU27,ROW,2.326465
ChemPlast,GBR,ZAF,0.162733
ChemPlast,GBR,USA,1.559329
ChemPlast,GBR,SACUSADC,0.373578
ChemPlast,GBR,CHN,5.730104
ChemPlast,GBR,ROW,2.338827
ChemPlast,ROW,ZAF,3.327441
ChemPlast,ROW,USA,0.842750
ChemPlast,ROW,SACUSADC,2.912903
ChemPlast,ROW,CHN,4.440320
ChemPlast,ROW,EU27,1.378143
ChemPlast,ROW,GBR,1.293564
ChemPlast,ROW,ROW,2.522075
TexApp,ZAF,USA,2.678311
TexApp,ZAF,CHN,8.266365
TexApp,ZAF,ROW,6.497777
TexApp,USA,ZAF,17.095650
TexApp,USA,SACUSADC,19.820858
TexApp,USA,CHN,9.157515
TexApp,USA,EU27,6.147230
TexApp,USA,GBR,7.927501
TexApp,USA,ROW,2.163494
TexApp,SACUSADC,ZAF,0.000370
TexApp,SACUSADC,USA,0.023711
TexApp,SACUSADC,SACUSADC,0.029230
TexApp,SACUSADC,CHN,8.177209
TexApp,SACUSADC,ROW,3.614044
TexApp,CHN,ZAF,31.284296
TexApp,CHN,USA,11.137878
TexApp,CHN,SACUSADC,21.762360
TexApp,CHN,EU27,10.098923
TexApp,CHN,GBR,10.367191
TexApp,CHN,ROW,8.809101
TexApp,EU27,ZAF,13.899124
TexApp,EU27,USA,7.849872
TexApp,EU27,SACUSADC,17.505312
TexApp,EU27,CHN,10.943770
TexApp,EU27,ROW,4.025316
TexApp,GBR,ZAF,14.720190
TexApp,GBR,USA,7.344222
TexApp,GBR,SACUSADC,20.951389
TexApp,GBR,CHN,10.998487
TexApp,GBR,ROW,6.077027
TexApp,ROW,ZAF,22.969257
TexApp,ROW,USA,8.170390
TexApp,ROW,SACUSADC,17.401112
TexApp,ROW,CHN,4.399860
TexApp,ROW,EU27,2.197945
TexApp,ROW,GBR,3.030956
TexApp,ROW,ROW,5.344129
OthManuf,ZAF,USA,0.000250
OthManuf,ZAF,SACUSADC,0.000691
OthManuf,ZAF,CHN,1.349294
OthManuf,ZAF,EU27,0.108922
OthManuf,ZAF,GBR,0.000155
OthManuf,ZAF,ROW,4.595387
OthManuf,USA,ZAF,3.341091
OthManuf,USA,SACUSADC,3.978741
OthManuf,USA,CHN,3.346908
OthManuf,USA,EU27,1.562381
OthManuf,USA,GBR,1.163244
OthManuf,USA,ROW,1.603007
OthManuf,SACUSADC,USA,0.063610
OthManuf,SACUSADC,CHN,0.033450
OthManuf,SACUSADC,EU27,0.000608
OthManuf,SACUSADC,ROW,5.112851
OthManuf,CHN,ZAF,6.393111
OthManuf,CHN,USA,1.988530
OthManuf,CHN,SACUSADC,8.627140
OthManuf,CHN,EU27,2.370322
OthManuf,CHN,GBR,2.087712
OthManuf,CHN,ROW,4.229271
OthManuf,EU27,ZAF,1.196241
OthManuf,EU27,USA,1.590943
OthManuf,EU27,SACUSADC,2.088451
OthManuf,EU27,CHN,5.332232
OthManuf,EU27,ROW,3.035843
OthManuf,GBR,ZAF,1.502895
OthManuf,GBR,USA,1.201415
OthManuf,GBR,SACUSADC,1.106119
OthManuf,GBR,CHN,3.654838
OthManuf,GBR,ROW,3.828943
OthManuf,ROW,ZAF,3.404522
OthManuf,ROW,USA,0.765014
OthManuf,ROW,SACUSADC,5.074131
OthManuf,ROW,CHN,3.086615
OthManuf,ROW,EU27,1.293063
OthManuf,ROW,GBR,1.269078
OthManuf,ROW,ROW,2.609301
Utilities,USA,CHN,1.303756
Utilities,USA,ROW,0.000012
Utilities,CHN,ROW,0.275517
Utilities,EU27,ROW,0.000155
Utilities,GBR,ROW,0.033259
Utilities,ROW,ROW,0.246072
