sector,source,destination,rate_pct
GrainCrop,ZAF,CHN,14.257420
GrainCrop,ZAF,EU27,2.877533
GrainCrop,ZAF,GBR,2.201533
GrainCrop,ZAF,ROW,7.908356
GrainCrop,USA,ZAF,2.779007
GrainCrop,USA,SACUSADC,13.252044
GrainCrop,USA,CHN,4.473412
GrainCrop,USA,EU27,1.395488
GrainCrop,USA,GBR,3.367007
GrainCrop,USA,ROW,5.503917
GrainCrop,SACUSADC,CHN,0.102246
GrainCrop,SACUSADC,ROW,2.614701
GrainCrop,CHN,ZAF,3.992987
GrainCrop,CHN,USA,1.288283
GrainCrop,CHN,SACUSADC,17.682732
GrainCrop,CHN,EU27,4.404008
GrainCrop,CHN,GBR,7.644856
GrainCrop,CHN,ROW,5.351210
GrainCrop,EU27,USA,53.572498
GrainCrop,EU27,SACUSADC,6.978345
GrainCrop,EU27,CHN,7.102549
GrainCrop,EU27,ROW,10.811985
GrainCrop,GBR,USA,69.439651
GrainCrop,GBR,SACUSADC,0.486290
GrainCrop,GBR,CHN,4.619563
GrainCrop,GBR,ROW,9.393620
GrainCrop,ROW,ZAF,5.001795
GrainCrop,ROW,USA,0.414765
GrainCrop,ROW,SACUSADC,1.838660
GrainCrop,ROW,CHN,3.326905
GrainCrop,ROW,EU27,1.700222
GrainCrop,ROW,GBR,2.286685
GrainCrop,ROW,ROW,8.085882
LiveMeat,ZAF,CHN,31.470192
LiveMeat,ZAF,EU27,0.309610
LiveMeat,ZAF,GBR,2.060294
LiveMeat,ZAF,ROW,4.036462
LiveMeat,USA,ZAF,12.301529
LiveMeat,USA,SACUSADC,21.290075
LiveMeat,USA,CHN,9.078479
LiveMeat,USA,EU27,10.582399
LiveMeat,USA,GBR,0.914276
LiveMeat,USA,ROW,11.781836
LiveMeat,SACUSADC,CHN,37.926338
LiveMeat,SACUSADC,ROW,125.767067
LiveMeat,CHN,ZAF,2.789855
LiveMeat,CHN,USA,0.417185
LiveMeat,CHN,SACUSADC,1.345038
LiveMeat,CHN,EU27,3.991520
LiveMeat,CHN,GBR,13.990604
LiveMeat,CHN,ROW,4.370415
LiveMeat,EU27,ZAF,1.167500
LiveMeat,EU27,USA,0.655842
LiveMeat,EU27,SACUSADC,10.083973
LiveMeat,EU27,CHN,12.700820
LiveMeat,EU27,ROW,22.824848
LiveMeat,GBR,ZAF,0.848389
LiveMeat,GBR,USA,0.175500
LiveMeat,GBR,SACUSADC,16.562164
LiveMeat,GBR,CHN,11.286629
LiveMeat,GBR,ROW,15.767741
LiveMeat,ROW,ZAF,10.147238
LiveMeat,ROW,USA,0.618184
LiveMeat,ROW,SACUSADC,17.988132
LiveMeat,ROW,CHN,13.281048
LiveMeat,ROW,EU27,14.493275
LiveMeat,ROW,GBR,21.396435
LiveMeat,ROW,ROW,10.897255
OthAgFood,ZAF,USA,4.095519
OthAgFood,ZAF,CHN,20.963049
OthAgFood,ZAF,EU27,5.805194
OthAgFood,ZAF,GBR,7.909572
OthAgFood,ZAF,ROW,11.935699
OthAgFood,USA,ZAF,6.417513
OthAgFood,USA,SACUSADC,10.387146
OthAgFood,USA,CHN,11.191023
OthAgFood,USA,EU27,8.061373
OthAgFood,USA,GBR,6.974435
OthAgFood,USA,ROW,8.010650
OthAgFood,SACUSADC,ZAF,0.010300
OthAgFood,SACUSADC,USA,17.820953
OthAgFood,SACUSADC,SACUSADC,1.007223
OthAgFood,SACUSADC,CHN,1.897418
OthAgFood,SACUSADC,EU27,0.006247
OthAgFood,SACUSADC,GBR,0.000465
OthAgFood,SACUSADC,ROW,14.182508
OthAgFood,CHN,ZAF,6.211627
OthAgFood,CHN,USA,2.985322
OthAgFood,CHN,SACUSADC,22.748041
OthAgFood,CHN,EU27,9.828281
OthAgFood,CHN,GBR,9.694899
OthAgFood,CHN,ROW,8.979713
OthAgFood,EU27,ZAF,0.868225
OthAgFood,EU27,USA,3.050792
OthAgFood,EU27,SACUSADC,8.560419
OthAgFood,EU27,CHN,12.819433
OthAgFood,EU27,ROW,12.644302
OthAgFood,GBR,ZAF,0.499547
OthAgFood,GBR,USA,1.301813
OthAgFood,GBR,SACUSADC,2.522886
OthAgFood,GBR,CHN,13.058877
OthAgFood,GBR,ROW,13.159121
OthAgFood,ROW,ZAF,6.106806
OthAgFood,ROW,USA,2.092123
OthAgFood,ROW,SACUSADC,4.790473
OthAgFood,ROW,CHN,8.662581
OthAgFood,ROW,EU27,4.466343
OthAgFood,ROW,GBR,4.661465
OthAgFood,ROW,ROW,9.340609
Coal,ZAF,ROW,2.006900
Coal,USA,CHN,4.512119
Coal,USA,ROW,0.507581
Coal,SACUSADC,ROW,0.607395
Coal,CHN,ROW,0.067556
Coal,EU27,CHN,0.686014
Coal,EU27,ROW,0.009763
Coal,GBR,CHN,2.999997
Coal,GBR,ROW,0.261736
Coal,ROW,CHN,1.039100
Coal,ROW,ROW,0.377131
Mining,ZAF,CHN,0.204325
Mining,ZAF,ROW,1.940727
Mining,USA,ZAF,0.020683
Mining,USA,SACUSADC,0.007188
Mining,USA,CHN,0.188375
Mining,USA,EU27,0.004578
Mining,USA,GBR,0.002396
Mining,USA,ROW,0.359607
Mining,SACUSADC,CHN,0.631237
Mining,SACUSADC,ROW,3.627944
Mining,CHN,ZAF,0.003219
Mining,CHN,USA,0.213540
Mining,CHN,SACUSADC,2.911246
Mining,CHN,EU27,0.285578
Mining,CHN,GBR,0.044072
Mining,CHN,ROW,0.979555
Mining,EU27,USA,0.066006
Mining,EU27,SACUSADC,0.005257
Mining,EU27,CHN,1.178384
Mining,EU27,ROW,4.388225
Mining,GBR,USA,0.141668
Mining,GBR,SACUSADC,0.024128
Mining,GBR,CHN,0.048506
Mining,GBR,ROW,0.203574
Mining,ROW,ZAF,0.000036
Mining,ROW,USA,0.062335
Mining,ROW,SACUSADC,0.027895
Mining,ROW,CHN,0.055063
Mining,ROW,EU27,0.000525
Mining,ROW,GBR,0.000310
Mining,ROW,ROW,0.768149
Metals,ZAF,USA,0.015998
Metals,ZAF,CHN,0.475287
Metals,ZAF,EU27,0.108933
Metals,ZAF,GBR,0.006115
Metals,ZAF,ROW,2.444482
Metals,USA,ZAF,2.631795
Metals,USA,SACUSADC,5.957162
Metals,USA,CHN,3.450859
Metals,USA,EU27,2.039719
Metals,USA,GBR,0.688791
Metals,USA,ROW,1.212227
Metals,SACUSADC,USA,0.066054
Metals,SACUSADC,CHN,2.666724
Metals,SACUSADC,ROW,1.624000
Metals,CHN,ZAF,7.764494
Metals,CHN,USA,4.075193
Metals,CHN,SACUSADC,8.419836
Metals,CHN,EU27,3.288686
Metals,CHN,GBR,3.806078
Metals,CHN,ROW,4.305232
Metals,EU27,ZAF,0.123894
Metals,EU27,USA,1.988757
Metals,EU27,SACUSADC,5.981696
Metals,EU27,CHN,4.791415
Metals,EU27,ROW,2.225709
Metals,GBR,ZAF,0.253928
Metals,GBR,USA,1.360917
Metals,GBR,SACUSADC,6.072783
Metals,GBR,CHN,2.751362
Metals,GBR,ROW,0.842571
Metals,ROW,ZAF,3.329098
Metals,ROW,USA,0.397789
Metals,ROW,SACUSADC,5.666077
Metals,ROW,CHN,1.552427
Metals,ROW,EU27,0.575566
Metals,ROW,GBR,0.146341
Metals,ROW,ROW,2.206016
Auto,ZAF,CHN,9.993256
Auto,ZAF,ROW,8.719254
Auto,USA,ZAF,16.579319
Auto,USA,SACUSADC,8.484697
Auto,USA,CHN,23.040163
Auto,USA,EU27,7.946134
Auto,USA,GBR,4.078043
Auto,USA,ROW,1.784837
Auto,SACUSADC,SACUSADC,0.018668
Auto,SACUSADC,CHN,9.706127
Auto,SACUSADC,ROW,2.821159
Auto,CHN,ZAF,14.409375
Auto,CHN,USA,1.122582
Auto,CHN,SACUSADC,6.304681
Auto,CHN,EU27,4.185498
